harvest,year,area_ha,perimeter_m,area_under_wall_ha,perimeter_per_ha,cost_per_ha,perimeter_ft,area_under_wall_ac,perimeter_per_ac,cost_per_ac
red_pine,2017,5.263157894736842,951.5856,0.6383674804727436,180.80126400000003,180.80126400000003,3122,1.5767676767676768,240.15384615384616,360.2307692307692
gas_line,2017,29.959514170040485,2271.3696,1.5237394184762605,75.81463394594594,75.81463394594594,7452,3.7636363636363637,100.70270270270271,151.05405405405406
north_gate,2019,54.65587044534413,3360.42,1.756021756021756,61.48324,47.89279502222223,11025,4.3373737373737375,81.66666666666667,95.42222222222222
wedge,2017,4.4534412955465585,808.6344,0.542469226679753,181.5751789090909,181.5751789090909,2653,1.33989898989899,241.1818181818182,361.77272727272725
boot,2017,6.477732793522267,1150.6200000000001,0.7718889297836665,177.62696250000002,177.62696250000002,3775,1.9065656565656566,235.9375,353.90625
recknagel_north,2020,2.591093117408907,669.9504000000001,0.4494336073283441,258.5589825,258.5589825,2198,1.11010101010101,343.4375,515.15625
recknagel_south,2020,12.550607287449392,1672.1328,1.1217437533227006,133.23122632258065,133.23122632258065,5486,2.7707070707070707,176.96774193548387,265.4516129032258
patch1,2019,0.4048582995951417,225.55200000000002,0.1513106776264671,557.1134400000001,557.1134400000001,740,0.37373737373737376,740,1110
patch2,2019,0.4048582995951417,225.55200000000002,0.1513106776264671,557.1134400000001,557.1134400000001,740,0.37373737373737376,740,1110
patch3,2019,0.4048582995951417,225.55200000000002,0.1513106776264671,557.1134400000001,557.1134400000001,740,0.37373737373737376,740,1110
camp_ridge,2019,51.821862348178136,2931.8712,1.9668343352553876,56.5759520625,56.5759520625,9619,4.858080808080808,75.1484375,112.72265625
sugarbush,2018,13.765182186234817,1419.7584000000002,0.952439373492005,103.14127200000001,103.14127200000001,4658,2.3525252525252527,137,205.5
decker_road,2020,10.121457489878543,1552.0416,1.0411810411810412,153.34171008,153.34171008,5092,2.5717171717171716,203.68,305.52
