harvest,post,slope_pct,wall_width_m,wall_high_outside_m,wall_high_m,wall_two_outside_m,wall_width,wall_ht_highest_inside,wall_ht_outside_highest_ft,wall_ht_outside_two_ft,built,year,month,elapsed
gas_line,201,-4.375,9.7536,4.69392,4.2672,3.1699200000000003,32,14,15.4,10.4,2017_06,2017,7,1
gas_line,201,0,7.9248,3.6576000000000004,3.6576000000000004,2.1336,26,12,12,7,2017_06,2018,10,16
gas_line,201,-16.05504587155963,6.644640000000001,4.572,3.5052000000000003,2.8956,21.8,11.5,15,9.5,2017_06,2019,11,29
gas_line,201,-2.5454545454545427,8.382,1.7373599999999998,1.524,1.7373599999999998,27.5,5,5.699999999999999,5.699999999999999,2017_06,2020,10,40
gas_line,202,-3.0434782608695676,7.010400000000001,4.17576,3.9624,2.6517600000000003,23,13,13.700000000000001,8.700000000000001,2017_06,2017,7,1
gas_line,202,0,8.5344,2.8956,2.8956,2.1336,28,9.5,9.5,7,2017_06,2018,10,16
gas_line,202,-2.3529411764705936,7.7724,3.2308800000000004,3.048,2.3164800000000008,25.5,10,10.600000000000001,7.600000000000001,2017_06,2019,11,29
gas_line,202,-6.521739130434782,7.010400000000001,2.8956,2.4384,2.286,23,8,9.5,7.5,2017_06,2020,10,40
gas_line,203,-1.1851851851851862,6.8580000000000005,2.6720800000000002,2.5908,2.06248,22.5,8.5,8.766666666666667,6.766666666666667,2017_06,2017,7,1
gas_line,203,0.7843137254901933,7.7724,2.68224,2.7432000000000003,1.4630400000000003,25.5,9,8.8,4.800000000000001,2017_06,2018,10,16
gas_line,203,-1.8518518518518519,8.2296,2.7432000000000003,2.5908,1.6764000000000001,27,8.5,9,5.5,2017_06,2019,11,29
gas_line,203,-2.1739130434782608,7.010400000000001,1.9812,1.8288000000000002,1.3716000000000002,23,6,6.5,4.5,2017_06,2020,10,40
gas_line,204,-5,6.096,3.6576000000000004,3.3528000000000002,2.8956,20,11,12,9.5,2017_06,2017,7,1
gas_line,204,-4.25531914893617,7.162800000000001,3.5052000000000003,3.2004,2.5908,23.5,10.5,11.5,8.5,2017_06,2018,10,16
gas_line,204,-6.521739130434782,7.010400000000001,3.2004,2.7432000000000003,2.286,23,9,10.5,7.5,2017_06,2019,11,29
gas_line,204,-2.380952380952381,6.4008,2.8956,2.7432000000000003,1.6764000000000001,21,9,9.5,5.5,2017_06,2020,10,40
gas_line,205,-5.925925925925925,6.8580000000000005,3.9116000000000004,3.5052000000000003,3.1496000000000004,22.5,11.5,12.833333333333334,10.333333333333334,2017_06,2017,7,1
gas_line,205,-3.4482758620689653,8.8392,3.2004,2.8956,2.4384,29,9.5,10.5,8,2017_06,2018,10,16
gas_line,205,-5.555555555555555,8.2296,3.048,2.5908,2.4384,27,8.5,10,8,2017_06,2019,11,29
gas_line,205,-5.882352941176471,7.7724,2.7432000000000003,2.286,2.1336,25.5,7.5,9,7,2017_06,2020,10,40
gas_line,206,-6.349206349206348,6.4008,4.3688,3.9624,2.8448,21,13,14.333333333333334,9.333333333333334,2017_06,2017,7,1
gas_line,206,-6.521739130434782,7.010400000000001,2.5908,2.1336,2.5908,23,7,8.5,8.5,2017_06,2018,10,16
gas_line,206,-4.25531914893617,7.162800000000001,2.286,1.9812,2.286,23.5,6.5,7.5,7.5,2017_06,2019,11,29
gas_line,206,-6.976744186046512,6.5532,2.286,1.8288000000000002,2.286,21.5,6,7.5,7.5,2017_06,2020,10,40
gas_line,207,-8.695652173913043,7.010400000000001,3.3528000000000002,2.7432000000000003,2.7432000000000003,23,9,11,9,2017_06,2017,7,1
gas_line,207,-8.16326530612245,7.4676,2.8956,2.286,2.286,24.5,7.5,9.5,7.5,2017_06,2018,10,16
gas_line,207,-9.25925925925926,8.2296,2.7432000000000003,1.9812,2.286,27,6.5,9,7.5,2017_06,2019,11,29
gas_line,207,-6.666666666666667,6.8580000000000005,1.9812,1.524,1.9812,22.5,5,6.5,6.5,2017_06,2020,10,40
gas_line,208,-6.266666666666665,7.62,4.59232,4.1148,3.22072,25,13.5,15.066666666666666,10.566666666666666,2017_06,2017,7,1
gas_line,208,-5.357142857142857,8.5344,3.4747200000000005,3.01752,2.1336,28,9.9,11.4,7,2017_06,2018,10,16
gas_line,208,-7.906976744186044,6.5532,3.26136,2.7432000000000003,2.19456,21.5,9,10.7,7.199999999999999,2017_06,2019,11,29
gas_line,208,-7.142857142857143,6.4008,3.048,2.5908,1.8288000000000002,21,8.5,10,6,2017_06,2020,10,40
gas_line,209,-3.9548022598870056,8.9916,2.9464,2.5908,2.4892,29.5,8.5,9.666666666666666,8.166666666666666,2017_06,2017,7,1
gas_line,209,-3.225806451612903,9.4488,2.7432000000000003,2.4384,2.1336,31,8,9,7,2017_06,2018,10,16
gas_line,209,-4.545454545454546,10.0584,2.1336,1.6764000000000001,2.1336,33,5.5,7,7,2017_06,2019,11,29
gas_line,209,-3.3333333333333335,9.144,1.6764000000000001,1.3716000000000002,1.6764000000000001,30,4.5,5.5,5.5,2017_06,2020,10,40
gas_line,210,-8.333333333333334,6.096,3.8608000000000002,3.3528000000000002,2.794,20,11,12.666666666666666,9.166666666666666,2017_06,2017,7,1
gas_line,210,-23.076923076923077,3.9624,3.5052000000000003,2.5908,3.048,13,8.5,11.5,10,2017_06,2018,10,16
